Sun, Star, 1.99e30, 0, 0, 0, 695508e3
Mercury, Planet, 3.3e23, 0.387, 57894375961, 47360, 2439.4e3
Venus, Planet, 4.87e24, 0.723, 108159260516, 35020, 6052e3
Earth, Planet, 5.97e24, 1, 149597870700, 29780, 6371e3
Mars, Planet, 6.42e23, 1.524, 227987154947, 24070, 3389.5e3
Jupiter, Planet, 1.9e27, 5.203, 778357721252, 13070, 69911e3
Saturn, Planet, 5.68e26, 9.537, 1426714892866, 9680, 58232e3
Uranus, Planet, 8.68e25, 19.191, 2870932736604, 6800, 25362e3
Neptune, Planet, 1.02e26, 30.069, 4498258374078, 5430, 24622e3
Pluto, Dwarf, 1.3e22, 39.482, 5906423130977, 4740, 1188.3e3
